Job Title, Zip Code, Number of Jobs
2018-07-16,retail,"88113",18
2018-07-16,retail,"64149",6863
2018-07-16,retail,"55769",111
2018-07-16,retail,"37891",658
2018-07-16,retail,"66544",36
2018-07-16,retail,"17355",2546
2018-07-16,retail,"31796",596
2018-07-16,retail,"65347",287
2018-07-16,retail,"30599",1709
2018-07-16,retail,"57065",690
2018-07-16,retail,"71483",78
2018-07-16,retail,"16157",2560
2018-07-16,retail,"24439",206
2018-07-16,retail,"72680",58
2018-07-16,retail,"30333",14584
2018-07-16,retail,"56701",17
2018-07-16,retail,"59460",1
2018-07-16,retail,"36693",1638
2018-07-16,retail,"81084",20
2018-07-16,retail,"88114",2
2018-07-16,retail,"97859",54
2018-07-16,retail,"49868",14
2018-07-16,retail,"23238",3506
2018-07-16,retail,"58266",14
2018-07-16,retail,"88119",2
2018-07-16,retail,"72685",99
2018-07-16,retail,"25635",267
2018-07-16,retail,"75181",11479
2018-07-16,retail,"26833",84
2018-07-16,retail,"31537",144
2018-07-16,retail,"89317",12
2018-07-16,retail,"62846",391
2018-07-16,retail,"22039",13156
2018-07-16,retail,"34291",1923
2018-07-16,retail,"59465",264
2018-07-16,retail,"71486",58
2018-07-16,retail,"57068",992
2018-07-16,retail,"71220",564
2018-07-16,retail,"66541",46
2018-07-16,retail,"33093",7978
2018-07-16,retail,"64144",7563
2018-07-16,retail,"30338",15089
2018-07-16,retail,"32735",1557
2018-07-16,retail,"72686",33
2018-07-16,retail,"35490",1881
2018-07-16,retail,"58265",11
2018-07-16,retail,"67740",26
2018-07-16,retail,"75180",13130
2018-07-16,retail,"97857",6
2018-07-16,retail,"22038",13491
2018-07-16,retail,"59466",15
2018-07-16,retail,"71485",474
2018-07-16,retail,"89318",24
2018-07-16,retail,"34292",2013
2018-07-16,retail,"24437",863
2018-07-16,retail,"57067",88
2018-07-16,retail,"25634",217
2018-07-16,retail,"66542",959
2018-07-16,retail,"40170",139
2018-07-16,retail,"81082",69
2018-07-16,retail,"30339",13560
2018-07-16,retail,"64146",7103
2018-07-16,retail,"17358",3779
2018-07-16,retail,"35491",45
2018-07-16,retail,"58002",58
2018-07-16,retail,"72683",81
2018-07-16,retail,"99150",54
2018-07-16,retail,"65344",105
2018-07-16,retail,"28391",1229
2018-07-16,retail,"31535",180
2018-07-16,retail,"89315",24
2018-07-16,retail,"97856",1
2018-07-16,retail,"62848",398
2018-07-16,retail,"95459",5
2018-07-16,retail,"28390",1523
2018-07-16,retail,"71222",156
2018-07-16,retail,"34293",1984
2018-07-16,retail,"59463",47
2018-07-16,retail,"81081",23
2018-07-16,retail,"32733",7538
2018-07-16,retail,"23236",3918
2018-07-16,retail,"30336",12143
2018-07-16,retail,"29590",166
2018-07-16,retail,"40171",195
2018-07-16,retail,"88118",40
2018-07-16,retail,"23237",3990
2018-07-16,retail,"58267",20
2018-07-16,retail,"99151",29
2018-07-16,retail,"58001",32
2018-07-16,retail,"31534",180
2018-07-16,retail,"24435",394
2018-07-16,retail,"28392",1048
2018-07-16,retail,"57069",115
2018-07-16,retail,"89316",1
2018-07-16,retail,"71221",511
2018-07-16,retail,"59464",27
2018-07-16,retail,"62849",369
2018-07-16,retail,"25632",269
2018-07-16,retail,"66540",53
2018-07-16,retail,"32732",6032
2018-07-16,retail,"64145",7122
2018-07-16,retail,"30337",10700
2018-07-16,retail,"83226",6
2018-07-16,retail,"33938",928
2018-07-16,retail,"13641",319
2018-07-16,retail,"63195",7901
2018-07-16,retail,"43780",191
2018-07-16,retail,"85623",472
2018-07-16,retail,"91771",25960
2018-07-16,retail,"35235",2995
2018-07-16,retail,"57048",337
2018-07-16,retail,"87187",2174
2018-07-16,retail,"32739",3378
2018-07-16,retail,"12443",1089
2018-07-16,retail,"14840",205
2018-07-16,retail,"60433",9016
2018-07-16,retail,"60699",20035
2018-07-16,retail,"62830",348
2018-07-16,retail,"83227",6
2018-07-16,retail,"11243",29938
2018-07-16,retail,"91770",25959
2018-07-16,retail,"13642",101
2018-07-16,retail,"65591",469
2018-07-16,retail,"85622",273
2018-07-16,retail,"35236",3117
2018-07-16,retail,"61633",1210
2018-07-16,retail,"29329",1794
2018-07-16,retail,"57047",358
2018-07-16,retail,"54308",1201
2018-07-16,retail,"59446",1
2018-07-16,retail,"32738",3312
2018-07-16,retail,"88120",164
2018-07-16,retail,"12444",191
2018-07-16,retail,"60432",9736
2018-07-16,retail,"10045",30365
2018-07-16,retail,"62831",426
2018-07-16,retail,"31539",156
2018-07-16,retail,"53109",3932
2018-07-16,retail,"13643",378
2018-07-16,retail,"43782",622
2018-07-16,retail,"41385",100
2018-07-16,retail,"39194",66
2018-07-16,retail,"79719",69
2018-07-16,retail,"91773",17734
2018-07-16,retail,"35237",3107
2018-07-16,retail,"61634",1199
2018-07-16,retail,"63197",7366
2018-07-16,retail,"83228",24
2018-07-16,retail,"11242",30096
2018-07-16,retail,"85625",27
2018-07-16,retail,"54307",1853
2018-07-16,retail,"87185",2273
2018-07-16,retail,"76119",10727
2018-07-16,retail,"59443",211
2018-07-16,retail,"14842",399
2018-07-16,retail,"64130",7411
